file,true_label,predicted_label,k
calicotome/Fab.C.vilX400wF(2018)(0)C-3.png,calicotome,olea,4
calicotome/Fab.C.vilX400wF(2019)(0)D-57.png,calicotome,olea,4
ceratonia/Fab.C.silX400wF(475)(0)A-3.png,ceratonia,eucalyptus,4
sinapis/Bra.S.albX400wF(2152)(0)C-16.png,sinapis,olea,6
sinapis/Bra.S.albX400wF(2152)(0)C-22.png,sinapis,olea,6
origanum/Lam.O.micX400wF(884)(0)A-9.png,origanum,ceratonia,6
sinapis/Bra.S.albX400wF(2152)(0)C-12.png,sinapis,olea,8
sinapis/Bra.S.albX400wF(2152)(0)C-2.png,sinapis,olea,8
sinapis/Bra.S.albX400wF(2154)(0)E-9.png,sinapis,olea,8
origanum/Lam.O.micX400wF(884)(0)A-1.png,origanum,ceratonia,9
calicotome/Fab.C.vilX400wF(2016)(0)A-19.png,calicotome,olea,2
calicotome/Fab.C.vilX400wF(2017)(0)B-14.png,calicotome,olea,2
sinapis/Bra.S.albX400wF(2152)(0)C-4.png,sinapis,olea,1
ceratonia/Fab.C.silX400wF(481)(0)G-12.png,ceratonia,eucalyptus,1
origanum/Lam.O.micX400wF(884)(0)A-2.png,origanum,ceratonia,1
sinapis/Bra.S.albX400wF(2151)(0)B-14.png,sinapis,olea,10
ceratonia/Fab.C.silX400wF(479)(0)E-15.png,ceratonia,eucalyptus,10
