;precision;recall;f1-score;support
asphodelus;0,971;1,0;0,986;34
calicotome;0,986;0,98;0,983;298
castanea;0,995;1,0;0,998;218
ceratonia;0,93;0,93;0,93;100
ebenus;1,0;0,955;0,977;22
erica;0,984;1,0;0,992;181
eucalyptus;0,976;0,971;0,973;170
ferula;1,0;0,988;0,994;83
myrtus;0,997;0,999;0,998;786
olea;0,981;0,996;0,989;790
origanum;0,976;0,971;0,974;171
oxalis;1,0;1,0;1,0;139
pinus;1,0;1,0;1,0;29
pistacia;1,0;0,971;0,985;34
salvia;0,994;0,994;0,994;178
satureja;0,985;0,93;0,957;71
sinapis;0,99;0,959;0,974;197
thymbra;0,986;0,986;0,986;146
urginea;1,0;0,991;0,995;109
vitis;0,989;0,989;0,989;269
accuracy;0,988;0,988;0,988;0
macro avg;0,987;0,98;0,984;4025
weighted avg;0,988;0,988;0,988;4025
