Unnamed: 0,asphodelus,calicotome,castanea,ceratonia,ebenus,erica,eucalyptus,ferula,myrtus,olea,origanum,oxalis,pinus,pistacia,salvia,satureja,sinapis,thymbra,urginea,vitis
asphodelus,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calicotome,0,292,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2
castanea,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceratonia,0,1,0,93,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0
ebenus,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
erica,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eucalyptus,0,0,0,0,0,1,165,0,2,1,0,0,0,0,0,0,0,0,0,1
ferula,0,1,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
myrtus,0,1,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0
olea,0,1,0,0,0,0,1,0,0,787,0,0,0,0,0,0,1,0,0,0
origanum,0,0,0,3,0,1,0,0,0,0,166,0,0,0,0,1,0,0,0,0
oxalis,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0
pinus,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
pistacia,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0
salvia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0
satureja,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,66,0,1,0,0
sinapis,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,189,0,0,0
thymbra,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,144,0,0
urginea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,0
vitis,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,266
