id_test,0
model,DenseNet201
trainable,name
True,input_1
True,zero_padding2d
True,conv1/conv
True,conv1/bn
True,conv1/relu
True,zero_padding2d_1
True,pool1
True,conv2_block1_0_bn
True,conv2_block1_0_relu
True,conv2_block1_1_conv
True,conv2_block1_1_bn
True,conv2_block1_1_relu
True,conv2_block1_2_conv
True,conv2_block1_concat
True,conv2_block2_0_bn
True,conv2_block2_0_relu
True,conv2_block2_1_conv
True,conv2_block2_1_bn
True,conv2_block2_1_relu
True,conv2_block2_2_conv
True,conv2_block2_concat
True,conv2_block3_0_bn
True,conv2_block3_0_relu
True,conv2_block3_1_conv
True,conv2_block3_1_bn
True,conv2_block3_1_relu
True,conv2_block3_2_conv
True,conv2_block3_concat
True,conv2_block4_0_bn
True,conv2_block4_0_relu
True,conv2_block4_1_conv
True,conv2_block4_1_bn
True,conv2_block4_1_relu
True,conv2_block4_2_conv
True,conv2_block4_concat
True,conv2_block5_0_bn
True,conv2_block5_0_relu
True,conv2_block5_1_conv
True,conv2_block5_1_bn
True,conv2_block5_1_relu
True,conv2_block5_2_conv
True,conv2_block5_concat
True,conv2_block6_0_bn
True,conv2_block6_0_relu
True,conv2_block6_1_conv
True,conv2_block6_1_bn
True,conv2_block6_1_relu
True,conv2_block6_2_conv
True,conv2_block6_concat
True,pool2_bn
True,pool2_relu
True,pool2_conv
True,pool2_pool
True,conv3_block1_0_bn
True,conv3_block1_0_relu
True,conv3_block1_1_conv
True,conv3_block1_1_bn
True,conv3_block1_1_relu
True,conv3_block1_2_conv
True,conv3_block1_concat
True,conv3_block2_0_bn
True,conv3_block2_0_relu
True,conv3_block2_1_conv
True,conv3_block2_1_bn
True,conv3_block2_1_relu
True,conv3_block2_2_conv
True,conv3_block2_concat
True,conv3_block3_0_bn
True,conv3_block3_0_relu
True,conv3_block3_1_conv
True,conv3_block3_1_bn
True,conv3_block3_1_relu
True,conv3_block3_2_conv
True,conv3_block3_concat
True,conv3_block4_0_bn
True,conv3_block4_0_relu
True,conv3_block4_1_conv
True,conv3_block4_1_bn
True,conv3_block4_1_relu
True,conv3_block4_2_conv
True,conv3_block4_concat
True,conv3_block5_0_bn
True,conv3_block5_0_relu
True,conv3_block5_1_conv
True,conv3_block5_1_bn
True,conv3_block5_1_relu
True,conv3_block5_2_conv
True,conv3_block5_concat
True,conv3_block6_0_bn
True,conv3_block6_0_relu
True,conv3_block6_1_conv
True,conv3_block6_1_bn
True,conv3_block6_1_relu
True,conv3_block6_2_conv
True,conv3_block6_concat
True,conv3_block7_0_bn
True,conv3_block7_0_relu
True,conv3_block7_1_conv
True,conv3_block7_1_bn
True,conv3_block7_1_relu
True,conv3_block7_2_conv
True,conv3_block7_concat
True,conv3_block8_0_bn
True,conv3_block8_0_relu
True,conv3_block8_1_conv
True,conv3_block8_1_bn
True,conv3_block8_1_relu
True,conv3_block8_2_conv
True,conv3_block8_concat
True,conv3_block9_0_bn
True,conv3_block9_0_relu
True,conv3_block9_1_conv
True,conv3_block9_1_bn
True,conv3_block9_1_relu
True,conv3_block9_2_conv
True,conv3_block9_concat
True,conv3_block10_0_bn
True,conv3_block10_0_relu
True,conv3_block10_1_conv
True,conv3_block10_1_bn
True,conv3_block10_1_relu
True,conv3_block10_2_conv
True,conv3_block10_concat
True,conv3_block11_0_bn
True,conv3_block11_0_relu
True,conv3_block11_1_conv
True,conv3_block11_1_bn
True,conv3_block11_1_relu
True,conv3_block11_2_conv
True,conv3_block11_concat
True,conv3_block12_0_bn
True,conv3_block12_0_relu
True,conv3_block12_1_conv
True,conv3_block12_1_bn
True,conv3_block12_1_relu
True,conv3_block12_2_conv
True,conv3_block12_concat
True,pool3_bn
True,pool3_relu
True,pool3_conv
True,pool3_pool
True,conv4_block1_0_bn
True,conv4_block1_0_relu
True,conv4_block1_1_conv
True,conv4_block1_1_bn
True,conv4_block1_1_relu
True,conv4_block1_2_conv
True,conv4_block1_concat
True,conv4_block2_0_bn
True,conv4_block2_0_relu
True,conv4_block2_1_conv
True,conv4_block2_1_bn
True,conv4_block2_1_relu
True,conv4_block2_2_conv
True,conv4_block2_concat
True,conv4_block3_0_bn
True,conv4_block3_0_relu
True,conv4_block3_1_conv
True,conv4_block3_1_bn
True,conv4_block3_1_relu
True,conv4_block3_2_conv
True,conv4_block3_concat
True,conv4_block4_0_bn
True,conv4_block4_0_relu
True,conv4_block4_1_conv
True,conv4_block4_1_bn
True,conv4_block4_1_relu
True,conv4_block4_2_conv
True,conv4_block4_concat
True,conv4_block5_0_bn
True,conv4_block5_0_relu
True,conv4_block5_1_conv
True,conv4_block5_1_bn
True,conv4_block5_1_relu
True,conv4_block5_2_conv
True,conv4_block5_concat
True,conv4_block6_0_bn
True,conv4_block6_0_relu
True,conv4_block6_1_conv
True,conv4_block6_1_bn
True,conv4_block6_1_relu
True,conv4_block6_2_conv
True,conv4_block6_concat
True,conv4_block7_0_bn
True,conv4_block7_0_relu
True,conv4_block7_1_conv
True,conv4_block7_1_bn
True,conv4_block7_1_relu
True,conv4_block7_2_conv
True,conv4_block7_concat
True,conv4_block8_0_bn
True,conv4_block8_0_relu
True,conv4_block8_1_conv
True,conv4_block8_1_bn
True,conv4_block8_1_relu
True,conv4_block8_2_conv
True,conv4_block8_concat
True,conv4_block9_0_bn
True,conv4_block9_0_relu
True,conv4_block9_1_conv
True,conv4_block9_1_bn
True,conv4_block9_1_relu
True,conv4_block9_2_conv
True,conv4_block9_concat
True,conv4_block10_0_bn
True,conv4_block10_0_relu
True,conv4_block10_1_conv
True,conv4_block10_1_bn
True,conv4_block10_1_relu
True,conv4_block10_2_conv
True,conv4_block10_concat
True,conv4_block11_0_bn
True,conv4_block11_0_relu
True,conv4_block11_1_conv
True,conv4_block11_1_bn
True,conv4_block11_1_relu
True,conv4_block11_2_conv
True,conv4_block11_concat
True,conv4_block12_0_bn
True,conv4_block12_0_relu
True,conv4_block12_1_conv
True,conv4_block12_1_bn
True,conv4_block12_1_relu
True,conv4_block12_2_conv
True,conv4_block12_concat
True,conv4_block13_0_bn
True,conv4_block13_0_relu
True,conv4_block13_1_conv
True,conv4_block13_1_bn
True,conv4_block13_1_relu
True,conv4_block13_2_conv
True,conv4_block13_concat
True,conv4_block14_0_bn
True,conv4_block14_0_relu
True,conv4_block14_1_conv
True,conv4_block14_1_bn
True,conv4_block14_1_relu
True,conv4_block14_2_conv
True,conv4_block14_concat
True,conv4_block15_0_bn
True,conv4_block15_0_relu
True,conv4_block15_1_conv
True,conv4_block15_1_bn
True,conv4_block15_1_relu
True,conv4_block15_2_conv
True,conv4_block15_concat
True,conv4_block16_0_bn
True,conv4_block16_0_relu
True,conv4_block16_1_conv
True,conv4_block16_1_bn
True,conv4_block16_1_relu
True,conv4_block16_2_conv
True,conv4_block16_concat
True,conv4_block17_0_bn
True,conv4_block17_0_relu
True,conv4_block17_1_conv
True,conv4_block17_1_bn
True,conv4_block17_1_relu
True,conv4_block17_2_conv
True,conv4_block17_concat
True,conv4_block18_0_bn
True,conv4_block18_0_relu
True,conv4_block18_1_conv
True,conv4_block18_1_bn
True,conv4_block18_1_relu
True,conv4_block18_2_conv
True,conv4_block18_concat
True,conv4_block19_0_bn
True,conv4_block19_0_relu
True,conv4_block19_1_conv
True,conv4_block19_1_bn
True,conv4_block19_1_relu
True,conv4_block19_2_conv
True,conv4_block19_concat
True,conv4_block20_0_bn
True,conv4_block20_0_relu
True,conv4_block20_1_conv
True,conv4_block20_1_bn
True,conv4_block20_1_relu
True,conv4_block20_2_conv
True,conv4_block20_concat
True,conv4_block21_0_bn
True,conv4_block21_0_relu
True,conv4_block21_1_conv
True,conv4_block21_1_bn
True,conv4_block21_1_relu
True,conv4_block21_2_conv
True,conv4_block21_concat
True,conv4_block22_0_bn
True,conv4_block22_0_relu
True,conv4_block22_1_conv
True,conv4_block22_1_bn
True,conv4_block22_1_relu
True,conv4_block22_2_conv
True,conv4_block22_concat
True,conv4_block23_0_bn
True,conv4_block23_0_relu
True,conv4_block23_1_conv
True,conv4_block23_1_bn
True,conv4_block23_1_relu
True,conv4_block23_2_conv
True,conv4_block23_concat
True,conv4_block24_0_bn
True,conv4_block24_0_relu
True,conv4_block24_1_conv
True,conv4_block24_1_bn
True,conv4_block24_1_relu
True,conv4_block24_2_conv
True,conv4_block24_concat
True,conv4_block25_0_bn
True,conv4_block25_0_relu
True,conv4_block25_1_conv
True,conv4_block25_1_bn
True,conv4_block25_1_relu
True,conv4_block25_2_conv
True,conv4_block25_concat
True,conv4_block26_0_bn
True,conv4_block26_0_relu
True,conv4_block26_1_conv
True,conv4_block26_1_bn
True,conv4_block26_1_relu
True,conv4_block26_2_conv
True,conv4_block26_concat
True,conv4_block27_0_bn
True,conv4_block27_0_relu
True,conv4_block27_1_conv
True,conv4_block27_1_bn
True,conv4_block27_1_relu
True,conv4_block27_2_conv
True,conv4_block27_concat
True,conv4_block28_0_bn
True,conv4_block28_0_relu
True,conv4_block28_1_conv
True,conv4_block28_1_bn
True,conv4_block28_1_relu
True,conv4_block28_2_conv
True,conv4_block28_concat
True,conv4_block29_0_bn
True,conv4_block29_0_relu
True,conv4_block29_1_conv
True,conv4_block29_1_bn
