;precision;recall;f1-score;support
asphodelus;0,971;1,0;0,986;34
calicotome;0,986;0,973;0,98;298
castanea;0,986;1,0;0,993;218
ceratonia;0,939;0,93;0,935;100
ebenus;0,955;0,955;0,955;22
erica;0,994;0,994;0,994;181
eucalyptus;0,988;0,982;0,985;170
ferula;1,0;1,0;1,0;83
myrtus;0,997;0,996;0,997;786
olea;0,982;0,987;0,985;790
origanum;0,971;0,971;0,971;171
oxalis;0,978;0,978;0,978;139
pinus;1,0;1,0;1,0;29
pistacia;1,0;0,971;0,985;34
salvia;0,989;0,994;0,992;178
satureja;0,971;0,93;0,95;71
sinapis;0,964;0,954;0,959;197
thymbra;0,973;0,979;0,976;146
urginea;1,0;1,0;1,0;109
vitis;0,974;0,985;0,98;269
accuracy;0,984;0,984;0,984;0
macro avg;0,981;0,979;0,98;4025
weighted avg;0,984;0,984;0,984;4025
