Unnamed: 0,asphodelus,calicotome,castanea,ceratonia,ebenus,erica,eucalyptus,ferula,myrtus,olea,origanum,oxalis,pinus,pistacia,salvia,satureja,sinapis,thymbra,urginea,vitis
asphodelus,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calicotome,0,290,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3
castanea,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceratonia,0,1,0,93,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
ebenus,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
erica,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eucalyptus,0,0,0,0,0,0,167,0,2,0,0,0,0,0,0,0,0,0,0,1
ferula,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
myrtus,0,1,2,0,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0
olea,0,0,0,0,1,0,1,0,0,780,1,1,0,0,0,0,5,1,0,0
origanum,0,0,0,3,0,0,0,0,0,0,166,0,0,0,0,1,0,0,0,1
oxalis,0,1,0,0,0,0,0,0,0,0,0,136,0,0,0,0,1,1,0,0
pinus,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
pistacia,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0
salvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,1,0,0,0,0
satureja,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,66,0,1,0,0
sinapis,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,188,0,0,0
thymbra,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,143,0,0
urginea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
vitis,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,265
