;precision;recall;f1-score;support
asphodelus;0,97;0,941;0,955;34
calicotome;0,996;0,936;0,965;298
castanea;0,986;0,995;0,991;218
ceratonia;0,924;0,85;0,885;100
ebenus;1,0;0,864;0,927;22
erica;0,983;0,983;0,983;181
eucalyptus;0,974;0,974;0,974;340
ferula;0,976;0,988;0,982;83
myrtus;0,994;0,997;0,996;786
olea;0,982;0,989;0,985;790
origanum;0,982;0,953;0,967;171
oxalis;0,944;0,978;0,961;139
pinus;1,0;1,0;1,0;29
pistacia;1,0;0,941;0,97;34
salvia;0,994;1,0;0,997;178
satureja;0,97;0,901;0,934;71
sinapis;0,913;0,959;0,936;197
thymbra;0,915;0,959;0,936;146
urginea;0,991;0,982;0,986;109
vitis;0,953;0,985;0,969;269
accuracy;0,975;0,975;0,975;0
macro avg;0,972;0,959;0,965;4195
weighted avg;0,976;0,975;0,975;4195
