Unnamed: 0,asphodelus,calicotome,castanea,ceratonia,ebenus,erica,eucalyptus,ferula,myrtus,olea,origanum,oxalis,pinus,pistacia,salvia,satureja,sinapis,thymbra,urginea,vitis
asphodelus,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
calicotome,0,279,0,1,0,0,4,0,0,2,0,5,0,0,0,0,2,2,0,3
castanea,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ceratonia,0,0,0,85,0,0,1,0,0,5,1,0,0,0,0,0,3,0,0,5
ebenus,0,0,0,0,19,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
erica,0,0,0,0,0,178,0,0,1,0,0,1,0,0,0,0,0,1,0,0
eucalyptus,0,1,0,0,0,1,331,1,2,0,0,0,0,0,0,0,0,2,0,2
ferula,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0
myrtus,0,0,0,0,0,0,2,0,784,0,0,0,0,0,0,0,0,0,0,0
olea,0,0,0,0,0,0,1,1,0,781,0,0,0,0,0,0,6,0,0,1
origanum,0,0,1,3,0,0,0,0,0,0,163,0,0,0,0,0,1,3,0,0
oxalis,0,0,0,1,0,0,0,0,0,0,0,136,0,0,0,0,2,0,0,0
pinus,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
pistacia,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0
salvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0
satureja,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,64,0,4,0,0
sinapis,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,189,0,0,2
thymbra,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,140,1,0
urginea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107,0
vitis,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,265
